Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Manufacturer 1~String~Manufacturer 1~100|Field=Manufacturer Lifecycle 1~String~Manufacturer Lifecycle 1~100|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~100|Field=Quantity~Integer~Quantity~100|Field=Supplier 1~String~Supplier 1~100|Field=Supplier Currency 1~String~Supplier Currency 1~100|Field=Supplier Order Qty 1~Integer~Supplier Order Qty 1~100|Field=Supplier Part Number 1~String~Supplier Part Number 1~100|Field=Supplier Stock 1~Integer~Supplier Stock 1~100|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~100|Field=Supplier Subtotal per Board 1~Float~Supplier Subtotal per Board 1~100|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~ESP_WROOM_02_Measurement_V1.PrjPCB|ReportField=ProjectFullPath~C:\Users\Keri\Desktop\ESP-WROOM-02 Measurement\ESP_WROOM_02_Measurement_V1.PrjPCB|ReportField=Title~Bill of Materials For Project [ESP_WROOM_02_Measurement_V1.PrjPCB] (No PCB Document Selected)|ReportField=ReportTime~11:30:57|ReportField=ReportDate~02-09-2018|ReportField=ReportDateTime~02-09-2018 11:30:57|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~97|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=CompanyName~Keri Studio|ReportField=Address1~ICG COMPOUND|ReportField=Address2~NR. BHAVANI CIRCLE|ReportField=Address3~A.K. ROAD|ReportField=Address4~SURAT-395008|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CurrentDate~02-09-2018|ReportField=CurrentTime~11:30:20|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Keri\Desktop\ESP-WROOM-02 Measurement\Main_sch.SchDoc|ReportField=DocumentName~Main_sch.SchDoc|ReportField=DocumentNumber~0|ReportField=DrawnBy~Ashisg Talaviya|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~02-09-2018|ReportField=Organization~KERI STUDIO|ReportField=ProjectName~ESP_WROOM_02_Measurement_V1.PrjPCB|ReportField=Revision~1.0|ReportField=Rule~|ReportField=SheetNumber~0|ReportField=SheetTotal~4|ReportField=Time~|ReportField=Title~Main Schematic|ReportField=DataSourceFileName~ESP_WROOM_02_Measurement_V1.PrjPCB|ReportField=DataSourceFullPath~C:\Users\Keri\Desktop\ESP-WROOM-02 Measurement\ESP_WROOM_02_Measurement_V1.PrjPCB|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|100nF|Multilayer Ceramic Capacitors MLCC - SMD/SMT 0805 0.1uF 50volts X7R 20%|C1, C3, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15|C0805|C_0805_0.1uF|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%26mpn%3DGCJ21BR71H104MA01L%26seller%3DMouser%26sku%3D81-GCJ21BR71H104MA1L%26country%3DIN%26channel%3DBOM%2520Report%26{URL.TEXT}Murata{URL.TIP}Component|Unknown|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%26mpn%3DGCJ21BR71H104MA01L%26seller%3DMouser%26sku%3D81-GCJ21BR71H104MA1L%26country%3DIN%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}GCJ21BR71H104MA01L{URL.TIP}Manufacturer|13|Mouser|USD|13|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%26mpn%3DGCJ21BR71H104MA01L%26seller%3DMouser%26sku%3D81-GCJ21BR71H104MA1L%26country%3DIN%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}81-GCJ21BR71H104MA1L{URL.TIP}Supplier|126|2.02|2.02|0.16
2|1uF|Multilayer Ceramic Capacitors MLCC - SMD/SMT 0805 1uF 50volts X7R 20%|C2, C4|C0805|C_0805_1uF|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%26mpn%3DGCJ21BR71H105MA01L%26seller%3DMouser%26sku%3D81-GCJ21BR71H105MA1L%26country%3DIN%26channel%3DBOM%2520Report%26{URL.TEXT}Murata{URL.TIP}Component|Unknown|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%26mpn%3DGCJ21BR71H105MA01L%26seller%3DMouser%26sku%3D81-GCJ21BR71H105MA1L%26country%3DIN%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}GCJ21BR71H105MA01L{URL.TIP}Manufacturer|2|Mouser|USD|2|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%26mpn%3DGCJ21BR71H105MA01L%26seller%3DMouser%26sku%3D81-GCJ21BR71H105MA1L%26country%3DIN%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}81-GCJ21BR71H105MA1L{URL.TIP}Supplier|1|0.66|0.66|0.33
3|PWR IN|Fixed Terminal Blocks TERMI-BLOK PCB|CN1|Terminal_5.08mm_1X02|Terminal_5.08mm_1X02|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTE%2520Connectivity%26mpn%3D796682-2%26seller%3DMouser%26sku%3D571-796682-2%26country%3DIN%26channel%3DBOM%2520Report%26{URL.TEXT}TE%20Connectivity{URL.TIP}Component|Volume Production|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTE%2520Connectivity%26mpn%3D796682-2%26seller%3DMouser%26sku%3D571-796682-2%26country%3DIN%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}796682-2{URL.TIP}Manufacturer|1|Mouser|USD|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTE%2520Connectivity%26mpn%3D796682-2%26seller%3DMouser%26sku%3D571-796682-2%26country%3DIN%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}571-796682-2{URL.TIP}Supplier|1291|1.06|1.06|1.06
4|1-796911-6|Conn Terminal Block 16 POS 5mm Solder ST Thru-Hole|CN2|Terminal_5.08mm_1X06|Terminal_5.08mm_1X06|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTE%2520Connectivity%26mpn%3D1-796911-6%26seller%3DMouser%26sku%3D571-1-796911-6%26country%3DIN%26channel%3DBOM%2520Report%26{URL.TEXT}TE%20Connectivity{URL.TIP}Component|Volume Production|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTE%2520Connectivity%26mpn%3D1-796911-6%26seller%3DMouser%26sku%3D571-1-796911-6%26country%3DIN%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}1-796911-6{URL.TIP}Manufacturer|1|Mouser|||{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTE%2520Connectivity%26mpn%3D1-796911-6%26seller%3DMouser%26sku%3D571-1-796911-6%26country%3DIN%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}571-1-796911-6{URL.TIP}Supplier|0|||
5|796682-2|Fixed Terminal Blocks TERMI-BLOK PCB|CN3, CN4, CN5, CN6, CN7, CN8|Terminal_5.08mm_1X02|Terminal_5.08mm_1X02|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTE%2520Connectivity%26mpn%3D796682-2%26seller%3DMouser%26sku%3D571-796682-2%26country%3DIN%26channel%3DBOM%2520Report%26{URL.TEXT}TE%20Connectivity{URL.TIP}Component|Volume Production|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTE%2520Connectivity%26mpn%3D796682-2%26seller%3DMouser%26sku%3D571-796682-2%26country%3DIN%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}796682-2{URL.TIP}Manufacturer|6|Mouser|USD|6|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTE%2520Connectivity%26mpn%3D796682-2%26seller%3DMouser%26sku%3D571-796682-2%26country%3DIN%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}571-796682-2{URL.TIP}Supplier|1291|6.36|6.36|1.06
6|LM1117-3V3|IC, LINEAR VOLTAGE REGULATOR|IC1|SOT223|VREG_LM1117_3V3|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTI%2520National%2520Semiconductor%26mpn%3DLM1117MPX-3.3%252F%26seller%3DMouser%26sku%3D926-LM1117MPX-33%26country%3DIN%26channel%3DBOM%2520Report%26{URL.TEXT}TI%20National%20Semiconductor{URL.TIP}Component|Unknown|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTI%2520National%2520Semiconductor%26mpn%3DLM1117MPX-3.3%252F%26seller%3DMouser%26sku%3D926-LM1117MPX-33%26country%3DIN%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}LM1117MPX-3.3%2F{URL.TIP}Manufacturer|1|Mouser|USD|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTI%2520National%2520Semiconductor%26mpn%3DLM1117MPX-3.3%252F%26seller%3DMouser%26sku%3D926-LM1117MPX-33%26country%3DIN%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}926-LM1117MPX-33{URL.TIP}Supplier|5390|1.54|1.54|1.54
7|74HC14D|IC, HEX INVERTER, SCHMITT TRIGGER SOIC14|IC2|SOIC-14|74HC14D|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DNexperia%26mpn%3D74HC14D%252C653%26seller%3DMouser%26sku%3D771-74HC14D-T%26country%3DIN%26channel%3DBOM%2520Report%26{URL.TEXT}Nexperia{URL.TIP}Component|Unknown|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DNexperia%26mpn%3D74HC14D%252C653%26seller%3DMouser%26sku%3D771-74HC14D-T%26country%3DIN%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}74HC14D,653{URL.TIP}Manufacturer|1|Mouser|USD|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DNexperia%26mpn%3D74HC14D%252C653%26seller%3DMouser%26sku%3D771-74HC14D-T%26country%3DIN%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}771-74HC14D-T{URL.TIP}Supplier|231622|0.37|0.37|0.37
8|LM358|IC OPAMP GP 700KHZ 8SOIC|IC3, IC4, IC5|SOIC-08|LM358|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTexas%2520Instruments%26mpn%3DLM358ADR%26seller%3DMouser%26sku%3D595-LM358ADR%26country%3DIN%26channel%3DBOM%2520Report%26{URL.TEXT}Texas%20Instruments{URL.TIP}Component|Volume Production|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTexas%2520Instruments%26mpn%3DLM358ADR%26seller%3DMouser%26sku%3D595-LM358ADR%26country%3DIN%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}LM358ADR{URL.TIP}Manufacturer|3|Mouser|USD|3|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTexas%2520Instruments%26mpn%3DLM358ADR%26seller%3DMouser%26sku%3D595-LM358ADR%26country%3DIN%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}595-LM358ADR{URL.TIP}Supplier|276825|1.08|1.08|0.36
9|NANO_VCC|TE Connectivity AMPMODU Mod II Series, 2.54mm Pitch 2 Way 1 Row Straight Breakaway Header, Solder Termination, 3A|J1, J2|Header_2.54mm_1X02|Header_2.54mm_1X02|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTE%2520Connectivity%26mpn%3D826646-2%26seller%3DMouser%26sku%3D571-826646-2%26country%3DIN%26channel%3DBOM%2520Report%26{URL.TEXT}TE%20Connectivity{URL.TIP}Component|Volume Production|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTE%2520Connectivity%26mpn%3D826646-2%26seller%3DMouser%26sku%3D571-826646-2%26country%3DIN%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}826646-2{URL.TIP}Manufacturer|2|Mouser|USD|2|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTE%2520Connectivity%26mpn%3D826646-2%26seller%3DMouser%26sku%3D571-826646-2%26country%3DIN%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}571-826646-2{URL.TIP}Supplier|30527|0.74|0.74|0.37
10|ESP_VCC|TE Connectivity AMPMODU Mod II Series, 2.54mm Pitch 2 Way 1 Row Straight Breakaway Header, Solder Termination, 3A|J3|Header_2.54mm_1X02|Header_2.54mm_1X02|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTE%2520Connectivity%26mpn%3D826646-2%26seller%3DMouser%26sku%3D571-826646-2%26country%3DIN%26channel%3DBOM%2520Report%26{URL.TEXT}TE%20Connectivity{URL.TIP}Component|Volume Production|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTE%2520Connectivity%26mpn%3D826646-2%26seller%3DMouser%26sku%3D571-826646-2%26country%3DIN%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}826646-2{URL.TIP}Manufacturer|1|Mouser|USD|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTE%2520Connectivity%26mpn%3D826646-2%26seller%3DMouser%26sku%3D571-826646-2%26country%3DIN%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}571-826646-2{URL.TIP}Supplier|30527|0.37|0.37|0.37
