timestamp,imu:accel.x,imu:accel.y,imu:accel.z,imu:gyro.x,imu:gyro.y,imu:gyro.z,imu:temperature,bme280:temperature,bme280:humidity,bme280:pressure
126273,,,,,,,,22.81,100,68137.55
126329,,,,,,,,22.81,84.06445,68137.55
126385,,,,,,,,,,
126441,,,,,,,,22.81,100,68137.55
126497,,,,,,,,22.81,100,68137.55
126553,,,,,,,,,,
126609,,,,,,,,,,
126665,,,,,,,,22.81,100,68137.55
126721,,,,,,,,,,
126777,,,,,,,,22.81,84.06445,68137.55
126833,,,,,,,,22.81,100,68137.55
126889,,,,,,,,,,
126945,,,,,,,,,,
127001,,,,,,,,,,
127057,,,,,,,,,,
127113,,,,,,,,,,
127169,,,,,,,,,,
127225,,,,,,,,22.81,84.43066,68137.55
127281,,,,,,,,22.81,100,68137.55
127337,,,,,,,,,,
127393,,,,,,,,,,
127480,,,,,,,,22.81,84.06445,68137.55
127536,,,,,,,,,,
127592,,,,,,,,22.81,100,68137.55
127648,,,,,,,,22.81,84.06445,68137.55
127704,,,,,,,,22.81,100,68137.55
127760,,,,,,,,,,
127816,,,,,,,,22.81,84.06445,68137.55
127872,,,,,,,,,,
127928,,,,,,,,,,
127984,,,,,,,,,,
128040,,,,,,,,22.81,100,68137.55
128096,,,,,,,,22.81,84.43066,68137.55
128152,,,,,,,,22.81,84.06445,68137.55
128208,,,,,,,,22.81,100,68137.55
128264,,,,,,,,,,
128320,,,,,,,,,,
128376,,,,,,,,,,
128432,,,,,,,,,,
128488,,,,,,,,,,
128544,,,,,,,,22.81,100,68137.55
128600,,,,,,,,,,
128656,,,,,,,,,,
128712,,,,,,,,,,
128768,,,,,,,,22.81,84.43066,68137.55
128824,,,,,,,,22.81,100,68137.55
128880,,,,,,,,22.81,84.06445,68137.55
128936,,,,,,,,22.81,100,68137.55
129034,,,,,,,,22.81,83.72168,68137.55
129090,,,,,,,,,,
129146,,,,,,,,,,
129202,,,,,,,,22.81,84.06445,68137.55
129258,,,,,,,,22.81,100,68137.55
129314,,,,,,,,,,
129370,,,,,,,,,,
